id,minutes,n_ingredients
72424,5,9
422656,45,15
238158,80,5
40521,22,8
276738,65,9
215068,36,13
236555,380,14
503223,40,14
50852,40,11
84299,2,5
76831,35,7
227170,75,8
335948,24,5
470156,12,8
30541,40,9
65094,45,11
110887,165,33
418114,60,13
169915,60,12
334336,195,7
44374,65,6
262705,16,9
96969,20,8
112614,100,10
357887,40,7
86776,15,10
145254,730,8
231549,60,9
18593,35,7
208802,25,15
482511,20,11
52775,20,11
38069,20,7
152061,15,5
36847,90,20
21541,50,9
350530,35,5
81159,14,8
56864,20,11
229836,45,9
97017,10,9
382123,20,3
102394,30,8
149097,80,19
114931,210,19
29528,13,10
419542,250,13
202253,60,11
137226,70,14
396248,27,11
73953,15,5
367935,30,13
165383,50,5
230311,90,12
356157,45,13
87093,75,12
431148,35,5
94786,60,7
191159,15,3
151619,25,9
282916,30,10
243399,30,14
135306,20,11
482506,10,4
478706,35,13
187283,50,8
243843,60,9
275240,40,11
234527,25,10
281330,415,11
150675,80,12
25948,65,10
316733,10,7
482344,20,7
51998,25,9
279577,70,17
249704,100,16
348953,50,7
32826,3,3
382000,15,10
474652,25,5
133013,5,4
37199,25,8
124148,40,8
398134,40,7
133040,35,9
347828,45,17
129612,110,15
126689,35,9
210132,53,9
57318,10,10
453544,60,5
170079,45,7
76456,90,14
30580,60,6
175404,10,6
311001,18,6
132535,30,8
62195,30,10
77780,205,15
